rca results
label,location,risks_and_indicators,01_01_2037,01_01_2027,01_01_2022,01_01_2020,01_01_2019,01_01_2018,01_01_2017,certainty1,certainty2,QTMost,QTMostUnit,QTLow,QTLowUnit,QTUp,QTUUnit
NCA,1,Fresh Water Supply,0.5236,0.5236,0.5236,0.5236,0.6664,1.0003,1.0003,4.5000,2.5000,0.6800,mean,0.5236,low ci,1.0003,high ci
AF1A,1,6.4.2  Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0.1428,0.1428,0.1428,0.1428,0.2856,0.4287,0.4287,5.0000,3.0000,0.2448,mean score,0.1428,lowest score,0.4287,highest score
AF1B,1,6.5.1  Degree of integrated water resources management implementation,0.3808,0.3808,0.3808,0.3808,0.3808,0.5716,0.5716,4.0000,2.0000,0.4352,mean score,0.3808,lowest score,0.5716,highest score
NCB,1,Pollination,0.5236,0.5236,0.5236,0.5236,0.6664,1.0003,1.0003,4.5000,2.5000,0.6800,mean,0.5236,low ci,1.0003,high ci
AF2A,1,2.4.1 Proportion of agricultural area under productive and sustainable agriculture,0.1428,0.1428,0.1428,0.1428,0.2856,0.4287,0.4287,5.0000,3.0000,0.2448,mean score,0.1428,lowest score,0.4287,highest score
AF2B,1,Percent hectares supporing large and well-connected plant-pollinator networks (IPBES),0.3808,0.3808,0.3808,0.3808,0.3808,0.5716,0.5716,4.0000,2.0000,0.4352,mean score,0.3808,lowest score,0.5716,highest score
NCC,1,Air quality,0.5236,0.5236,0.5236,0.5236,0.6664,1.0003,1.0003,4.5000,2.5000,0.6800,mean,0.5236,low ci,1.0003,high ci
AF3A,1,Percent manufactoring facilities achieving air pollution levels within safety standards,0.1428,0.1428,0.1428,0.1428,0.2856,0.4287,0.4287,5.0000,3.0000,0.2448,mean score,0.1428,lowest score,0.4287,highest score
AF3B,1,9.4.1 GHG emission per unit of value added,0.3808,0.3808,0.3808,0.3808,0.3808,0.5716,0.5716,4.0000,2.0000,0.4352,mean score,0.3808,lowest score,0.5716,highest score
NC,1,Natural Capital Score,1.5708,1.5708,1.5708,1.5708,1.9992,3.0009,3.0009,4.5000,2.5000,2.0400,performance score,1.5708,low ci,3.0009,high ci
PCA,1,Flood Control,1.5715,1.5715,1.5715,1.5715,1.9999,3.0002,3.0002,4.5000,2.5000,2.0407,mean,1.5715,low ci,3.0002,high ci
AF4A,1,Percent company assets upgraded to withstand severe flood events,0.4287,0.4287,0.4287,0.4287,0.8571,1.2858,1.2858,5.0000,3.0000,0.7347,mean score,0.4287,lowest score,1.2858,highest score
AF4B,1,11.b.1  Degree to which business continuity plan supports community disaster risk reduction strategies,1.1428,1.1428,1.1428,1.1428,1.1428,1.7144,1.7144,4.0000,2.0000,1.3060,mean score,1.1428,lowest score,1.7144,highest score
PC,1,Physical Capital Score,1.5715,1.5715,1.5715,1.5715,1.9999,3.0002,3.0002,4.5000,2.5000,2.0407,performance score,1.5715,low ci,3.0002,high ci
ECA,1,Employee Management,1.5715,1.5715,1.5715,1.5715,1.9999,3.0002,3.0002,4.5000,2.5000,2.0407,mean,1.5715,low ci,3.0002,high ci
AF5A,1,5.1.1  Degree to which legal frameworks promote; enforce and monitor equality and non?discrimination on the basis of sex,0.4287,0.4287,0.4287,0.4287,0.8571,1.2858,1.2858,5.0000,3.0000,0.7347,mean score,0.4287,lowest score,1.2858,highest score
AF5B,1,Percent company supply sourced with SSIFs; small-scale food producers who are female and indigenous,1.1428,1.1428,1.1428,1.1428,1.1428,1.7144,1.7144,4.0000,2.0000,1.3060,mean score,1.1428,lowest score,1.7144,highest score
EC,1,Economic Capital Score,1.5715,1.5715,1.5715,1.5715,1.9999,3.0002,3.0002,4.5000,2.5000,2.0407,performance score,1.5715,low ci,3.0002,high ci
TR,1,Social Performance Score,4.7138,4.7138,4.7138,4.7138,5.9990,9.0013,9.0013,4.5000,2.5000,6.1214,performance score,4.7138,low ci,9.0013,high ci
NCA_A,1,Fresh Water Supply,1.6667,1.4763,1.4763,1.3335,1.0003,0.8095,0.8095,4.5000,2.5000,1.2247,mean,0.8095,low ci,1.6667,high ci
AF1A_A,1,6.4.2  Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0.7143,0.7143,0.7143,0.5715,0.4287,0.4287,0.4287,5.0000,3.0000,0.5715,mean score,0.4287,lowest score,0.7143,highest score
AF1B_A,1,6.5.1  Degree of integrated water resources management implementation,0.9524,0.7620,0.7620,0.7620,0.5716,0.3808,0.3808,4.0000,2.0000,0.6532,mean score,0.3808,lowest score,0.9524,highest score
NCB_A,1,Pollination,1.3335,1.4763,1.4763,1.3335,1.0003,0.8095,0.8095,4.5000,2.5000,1.1771,mean,0.8095,low ci,1.4763,high ci
AF2A_A,1,2.4.1 Proportion of agricultural area under productive and sustainable agriculture,0.5715,0.7143,0.7143,0.5715,0.4287,0.4287,0.4287,5.0000,3.0000,0.5511,mean score,0.4287,lowest score,0.7143,highest score
